    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]   CSTAR[V]    C660[%]  C660[m-1]
    184.000    13.4298    13.4031    38.5622    29.0712    3.63885    157.885     1.0966     0.1314     4.5225    91.4890     0.0889
    185.000    13.4313    13.4044    38.5627    29.0713    3.63543    157.736     1.0966     0.1314     4.5226    91.4910     0.0889
    186.000    13.4335    13.4065    38.5633    29.0713    3.63324    157.641     1.0968     0.1315     4.5227    91.4923     0.0889
    187.000    13.4355    13.4083    38.5640    29.0714    3.63284    157.624     1.0976     0.1317     4.5228    91.4947     0.0889
    188.000    13.4365    13.4092    38.5644    29.0716    3.63068    157.530     1.0976     0.1317     4.5227    91.4923     0.0889
    189.000    13.4437    13.4162    38.5670    29.0721    3.62759    157.396     1.1011     0.1330     4.5227    91.4925     0.0889
    190.000    13.4465    13.4189    38.5679    29.0722    3.62100    157.110     1.0976     0.1317     4.5227    91.4923     0.0889
    191.000    13.4473    13.4195    38.5681    29.0722    3.61724    156.946     1.0969     0.1315     4.5227    91.4925     0.0889
    192.000    13.4473    13.4195    38.5684    29.0723    3.61724    156.946     1.0969     0.1315     4.5227    91.4912     0.0889
    193.000    13.4473    13.4195    38.5684    29.0723    3.61724    156.946     1.0969     0.1315     4.5225    91.4890     0.0889
    194.000    13.4431    13.4149    38.5673    29.0726    3.61961    157.049     1.0850     0.1275     4.5225    91.4880     0.0889
    195.000    13.4412    13.4129    38.5668    29.0727    3.62784    157.406     1.0892     0.1290     4.5222    91.4828     0.0890
    196.000    13.4304    13.4016    38.5646    29.0734    3.63090    157.539     1.0892     0.1290     4.5211    91.4598     0.0893
    197.000    13.4304    13.4016    38.5644    29.0737    3.63158    157.569     1.0850     0.1275     4.5200    91.4379     0.0895
    198.000    13.4304    13.4016    38.5659    29.0743    3.63158    157.569     1.0892     0.1290     4.5194    91.4248     0.0897
    199.000    13.4333    13.4044    38.5670    29.0746    3.63090    157.539     1.0929     0.1302     4.5193    91.4225     0.0897
    200.000    13.4341    13.4050    38.5675    29.0749    3.62550    157.305     1.0929     0.1302     4.5192    91.4216     0.0897
    201.000    13.4394    13.4102    38.5693    29.0752    3.61842    156.997     1.0929     0.1302     4.5192    91.4216     0.0897
    202.000    13.4432    13.4138    38.5706    29.0754    3.61127    156.687     1.0961     0.1312     4.5193    91.4225     0.0897
    203.000    13.4461    13.4166    38.5718    29.0757    3.60583    156.451     1.0970     0.1316     4.5197    91.4323     0.0896
